,,,,Promedio,Desviación
10,,,10,9.284,2.500456542
7.1,1.7,,30,20.454,2.289679923
6.9,2.022374842,,50,17.2072,2.137253779
7.7,2.19317122,,100,15.9628,1.444359829
8.1,2.385372088,,200,8.59865,0.615029325
8.1,2.343074903,,500,8.39412,0.597992497
8.1,3.269556545,,1000,9.36986,0.217186496
9.3,4.87954916,,2000,12.01087,0.171641224
9,3.898717738,,,,
9,3.872983346,,,,
8.7,4.290687591,,,,
9.7,4.313930922,,,,
10.3,3.97617907,,,,
10.5,5.678908346,,,,
10.4,5.8685603,,,,
10.5,6.54599114,,,,
10.5,6.771262807,,,,
10.8,5.688585061,,,,
10.7,7.416872656,,,,
10.9,4.763402146,,,,
10.6,6.666333325,,,,
10.7,6.943342135,,,,
10.9,7.917701687,,,,
10.7,8.000624976,,,,
10.7,7.085901495,,,,
11.4,5.678027827,,,,
10.7,7.114070565,,,,
11.4,5.660388679,,,,
10.5,6.917369442,,,,
11.5,5.590169944,,,,
9.8,4.190465368,,,,
11.3,5.675385449,,,,
10.7,5.916924877,,,,
10.6,7.045565982,,,,
11.1,5.593746508,,,,
12.2,5.114684741,,,,
11.1,5.44885309,,,,
11.4,5.407402334,,,,
11.9,6.992138443,,,,
12.3,4.92036584,,,,
12,7.469939759,,,,
12.7,5.496362433,,,,
12.5,5.572252686,,,,
12.5,5.333854141,,,,
12.6,5.16139516,,,,
12.3,5.441507144,,,,
12.1,5.575840744,,,,
12.6,5.425863987,,,,
12.9,5.223983155,,,,
12.6,5.642694392,,,,
12.1,5.889821729,,,,
11.9,6.139218191,,,,
12.7,5.657738064,,,,
12.8,5.827520914,,,,
12.1,6.905794668,,,,
12.7,7.085901495,,,,
12.4,7.592101158,,,,
12.3,7.211795893,,,,
12.3,7.085901495,,,,
12.4,7.525955089,,,,
12.1,5.872818744,,,,
12.3,7.537240874,,,,
12.2,5.827520914,,,,
13,4.979959839,,,,
12.6,6.85857128,,,,
12.6,7.592101158,,,,
13.4,6.019966777,,,,
13.2,6.273754857,,,,
13.1,6.106553856,,,,
13.1,9.060353194,,,,
13.4,8.027452896,,,,
13.5,7.851751397,,,,
13.6,7.53923073,,,,
13.4,7.927168473,,,,
13.2,8.447484833,,,,
13.4,8.175573374,,,,
13.5,8.090117428,,,,
1.8,0.4,,,,
2.1,0.7,,,,
2.3,0.781024968,,,,
2.3,1.1,,,,
2.2,1.077032961,,,,
2.4,0.8,,,,
2.4,1.113552873,,,,
2.5,0.670820393,,,,
2.5,0.670820393,,,,
2.5,1.024695077,,,,
2.6,0.663324958,,,,
2.6,1.562049935,,,,
2.7,1.268857754,,,,
2.6,0.8,,,,
2.5,1.024695077,,,,
2.6,0.8,,,,
2.6,1.019803903,,,,
2.5,1.204159458,,,,
2.7,1.1,,,,
2.7,1.268857754,,,,
2.8,1.53622915,,,,
2.9,1.7,,,,
2.8,1.53622915,,,,
2.9,1.513274595,,,,
,,,,,
30,,,,,
16.6,10.57544325,,,,
16.93333333,9.34855901,,,,
17.96666667,8.757790183,,,,
18.5,7.455423082,,,,
18.5,6.092344923,,,,
18.4,7.045565982,,,,
19.13333333,9.485895963,,,,
19.1,9.631026252,,,,
19.43333333,13.34836653,,,,
19.5,9.735673235,,,,
19.53333333,12.45721567,,,,
19.63333333,8.276405554,,,,
19.56666667,9.243676517,,,,
19.66666667,7.507033739,,,,
19.3,10.16251281,,,,
19.7,8.699233683,,,,
19.6,7.120861371,,,,
19.7,8.021429632,,,,
19.5,8.265389686,,,,
20.03333333,10.69729976,,,,
20.06666667,7.549540089,,,,
20.1,6.057227088,,,,
20.03333333,8.236031946,,,,
20.2,7.082372484,,,,
20.2,6.906036007,,,,
20.06666667,6.402777175,,,,
20.3,6.132699243,,,,
20.23333333,5.547872465,,,,
20.16666667,6.245442783,,,,
20.16666667,10.58011762,,,,
20.2,10.92825085,,,,
20.16666667,9.466021105,,,,
20.2,6.134057928,,,,
20.23333333,11.30688089,,,,
20.3,9.74730732,,,,
20.53333333,10.187356,,,,
20.26666667,10.47515579,,,,
20.33333333,10.32257504,,,,
20.3,9.754144418,,,,
20.16666667,10.43737941,,,,
20.36666667,13.75859327,,,,
20.33333333,13.54826762,,,,
20.6,9.086987033,,,,
20.23333333,10.98387707,,,,
20.16666667,10.96990834,,,,
20.4,5.45038225,,,,
20.33333333,6.046119049,,,,
20.36666667,9.516593695,,,,
20.63333333,13.71977486,,,,
20.53333333,12.04362441,,,,
21.16666667,6.277384452,,,,
21,10.47218538,,,,
20.63333333,13.26520092,,,,
20.93333333,9.146705539,,,,
21.23333333,7.360631012,,,,
20.86666667,9.945629973,,,,
21.13333333,6.097722708,,,,
21.16666667,12.31011328,,,,
21,10.05650701,,,,
21.03333333,8.538084615,,,,
20.83333333,7.983663876,,,,
21.2,6.155756114,,,,
21.3,6.948141238,,,,
21,9.609023537,,,,
21.36666667,10.97112371,,,,
21.3,11.86633895,,,,
21,11.04837846,,,,
21.16666667,7.371491633,,,,
21.4,12.52889993,,,,
21.03333333,12.45654669,,,,
21.13333333,8.094167996,,,,
21.1,10.71245381,,,,
21.2,9.754998719,,,,
21.06666667,11.49183285,,,,
20.66666667,12.78367014,,,,
20.73333333,9.490111813,,,,
20.9,9.162787058,,,,
20.83333333,7.945998294,,,,
21.4,10.57859474,,,,
21.2,9.843441133,,,,
20.93333333,8.041282374,,,,
21.16666667,9.402422856,,,,
21.16666667,5.893970554,,,,
20.93333333,12.24182267,,,,
20.96666667,9.948143322,,,,
21.36666667,12.07886124,,,,
21.56666667,11.74076469,,,,
21.4,10.17054571,,,,
21.16666667,13.74550432,,,,
21.43333333,9.153080841,,,,
21.06666667,13.22858857,,,,
20.83333333,12.55144967,,,,
21.3,9.180232386,,,,
21.6,12.44079312,,,,
