,,,,Promedio,Desviación
2.5495,1.461694137,,,,
2.535,1.474033582,,,,
2.529,1.301214433,,,,
2.5505,1.47154672,,,,
2.5265,1.381773408,,,,
2.534,1.447012094,,,,
2.542,1.504073137,,,,
2.529,1.47789005,,,,
2.5515,1.456484724,,,,
2.5275,1.427320479,,,,
2.5585,1.519400457,,,,
2.539,1.347025983,,,,
2.546,1.462834235,,,,
,,,,,
100,,,,,
1.67,4.713926177,,6.082333333,,
4.09,12.82894774,,,,
4.3,11.01498979,,,,
4.75,11.26887306,,,,
5.12,11.51979166,,,,
5.33,13.96069841,,,,
5.98,17.68896831,,,,
5.73,12.96214103,,,,
5.79,14.28166307,,,,
5.75,12.77526908,,,,
5.97,13.63044753,,,,
5.96,14.08468672,,,,
5.96,13.10032061,,,,
6.32,17.43724749,,,,
6.49,12.72673957,,,,
6.46,15.40092205,,,,
6.41,14.13300746,,,,
6.67,18.46675662,,,,
6.41,13.83697583,,,,
6.49,13.86181446,,,,
7.11,17.49793988,,,,
6.81,13.85329925,,,,
6.94,15.47050096,,,,
7.13,14.97040748,,,,
7.1,15.48386257,,,,
6.81,14.15534881,,,,
7.01,13.9280257,,,,
7.26,15.52264153,,,,
7.17,15.0293413,,,,
7.48,20.1749746,,,,

1000
1.563, 3.593609745089176
1.608, 3.6488814724515266
1.72, 4.658068269143329
1.761, 4.474134441431069
1.801, 3.6575126794038537
1.803, 3.743820374964547
1.818, 4.668284053054142
1.811, 4.547447525810452
1.872, 4.629429338482231
1.913, 4.763342418932262
1.881, 4.496313934769281
1.896, 4.578120138222697
2.025, 4.648050666677333
1.981, 4.57871586801371
1.98, 3.9186222068477425
2.013, 4.727243488545907
2.052, 4.59644384279853
2.093, 4.729941965817312
2.121, 4.860283839448006
2.104, 4.762476666609494
2.13, 4.705220504928521
2.067, 4.968753465407606
2.099, 4.9338827509376975
2.184, 4.95117602191639
2.176, 4.976045015873553
2.159, 4.712082236124536
2.168, 4.9416369757399545
2.184, 4.770130396540514
2.129, 4.872407926272227
2.14, 4.961088590218882
