,,,,Promedio,Desviación
10,,,10,19.29466667,2.677119092
14.3,6.664082833,,30,15.67466667,6.337980161
14.2,5.75847202,,50,20.72653333,7.977278598
15,7.071067812,,100,15.00066667,19.64159199
15.2,7.068238819,,200,10.06396667,15.69441805
15.5,8.261355821,,500,9.202986667,10.20007191
15.1,7.449161027,,1000,16.88086,6.58693017
15.9,6.518435395,,2000,9.428563333,5.591353787
16,3.820994635,,,,
16,3.741657387,,,,
16,8.124038405,,,,
16,4.074309757,,,,
15.9,8.030566605,,,,
16,7.169379332,,,,
15.9,3.961060464,,,,
16,3.820994635,,,,
16.1,4.036087214,,,,
17.2,7.096478,,,,
17.3,7.142128534,,,,
17,7.280109889,,,,
17,7.509993342,,,,
17,7.52329715,,,,
17,7.280109889,,,,
17,7.469939759,,,,
17.1,7.395268758,,,,
16.8,8.634813258,,,,
17.1,7.327346041,,,,
17.3,7.239475119,,,,
17,7.26636085,,,,
17,8.160882305,,,,
17.2,8.6,,,,
17.4,7.825599019,,,,
17.3,7.798076686,,,,
17.5,7.813449942,,,,
16.9,7.892401409,,,,
16.7,8.198170528,,,,
17.5,10.0623059,,,,
18.2,9.505787711,,,,
17.5,10.50951949,,,,
17.5,8.593602271,,,,
17.5,7.813449942,,,,
17.3,4.001249805,,,,
17.7,5.060632372,,,,
18.9,11.33534296,,,,
17.6,8.464041588,,,,
19.4,8.064738061,,,,
18.4,9.414881837,,,,
20.2,11.14271062,,,,
19,13.49073756,,,,
22.4,11.77454882,,,,
22.4,11.78303866,,,,
22,11.35781669,,,,
21.2,10.04788535,,,,
22.7,10.8078675,,,,
19.3,12.39395014,,,,
22.7,10.75220908,,,,
20.9,13.01883251,,,,
21.2,12.95221989,,,,
21.1,11.3,,,,
18.2,9.795917517,,,,
19.5,8.357631243,,,,
19.5,8.381527307,,,,
19.3,13.91438105,,,,
19.5,8.935882721,,,,
19.5,8.357631243,,,,
19.2,11.196428,,,,
20.6,11.90965994,,,,
22.9,10.72800075,,,,
20.3,10.44078541,,,,
23,10.63014581,,,,
20.9,13.01883251,,,,
22.6,12.37093368,,,,
20.5,12.11816818,,,,
21.4,12.76087771,,,,
20.6,12.01831935,,,,
21,12.12435565,,,,
20.9,12.15277746,,,,
20.9,12.1445461,,,,
21.1,11.00409015,,,,
19.3,16.01905116,,,,
21.2,11.18749302,,,,
20.1,10.44461584,,,,
23,11.40175425,,,,
22.5,11.51737817,,,,
19.4,9.340235543,,,,
19.5,8.237111144,,,,
20.5,14.53444185,,,,
20.2,10.6,,,,
19.3,13.84232639,,,,
19.5,10.85587399,,,,
23,10.61131472,,,,
20.1,10.43503713,,,,
22.1,12.87206277,,,,
22.7,10.7893466,,,,
20.7,11.99208072,,,,
21.4,10.12126474,,,,
20.3,9.788258272,,,,
22.9,11.95366053,,,,
22.6,12.20819397,,,,
23.2,11.17855089,,,,
23.2,11.29424632,,,,
20.6,12.41128519,,,,
20,15.05988048,,,,
20.7,10.89082182,,,,
20,14.51206395,,,,
22.9,12.46956294,,,,
23.1,12.34868414,,,,
24.2,10.78702925,,,,
23,12.10784869,,,,
23,12.25561096,,,,
20.7,13.35702063,,,,
23.1,12.20204901,,,,
23.1,12.20204901,,,,
23,12.13260071,,,,
23.1,11.99541579,,,,
20.7,13.37946187,,,,
23.9,11.95366053,,,,
21.6,12.66649123,,,,
24.2,11.54816003,,,,
21.8,12.89030644,,,,
23.6,12.05985075,,,,
23.2,14.99866661,,,,
22.8,11.80508365,,,,
23,12.12435565,,,,
21.5,13.48517705,,,,
23.7,15.7800507,,,,
23.7,15.2973854,,,,
25,9.848857802,,,,
